date,dish_name,restaurant_name,price,meal_type,description,image
2026-05-04 (Monday),Nasi Goreng Kampung,Dapo Sahang,RM 6.50,(Dinner),"Due to... constraints, I decided to eat in for the time being, until I confirm I still have a slight surplus to use.

They told me to wait 15 minutes for kampung, and somehow they bought up various dishes, such as kuey teow, bujang, and some brown type nasi goreng.

All before my order. It ended up being 20ish minutes of wait time.

Food is somehow inconsistent now, be it taste or portion. I should pivot back to Delima, or try Izz more?

<small>Huh, Bujang tambah nasi is 50sen? Or is it 1? Why did they argue for 50sen discount?

Well eitherway, it contains rice, egg, spoonful of sambal, and a chili?
</small>","images/2026/May/2026, May, image 2.png"
2026-05-05 (Tuesday),Nasi Kandar,AS Nasi Kandar,RM 7.50,(Lunch),"Today seems chill for them as like 4 staff are outside. Gal staff let me self service after scooping a bowlful of rice.

Well, don't mind if I do.

- Rice: pre scooped, 1 bowlful
- Vege: 1 pushful, which could be approximated to 1-2 scoops. Could be more.
- Chicken: either back or front part, which is per usual not hot.
- Goat curry: 3 scoops, avoided anything that makes my mouth go boom. Better to take more maybe
- Limau ais: 3 limes to be let go today

Then again, if I eat more, I'd somewhat break the calorie deficit goal.<br><ul><li>Rice: pre scooped, 1 bowlful</li><li>Vege: 1 pushful, which could be approximated to 1-2 scoops. Could be more.</li><li>Chicken: either back or front part, which is per usual not hot.</li><li>Goat curry: 3 scoops, avoided anything that makes my mouth go boom. Better to take more maybe</li><li>Limau ais: 3 limes to be let go today</li></ul>","images/2026/May/2026, May, image 3.png"
2026-05-05 (Tuesday),Nasi Goreng Mamak,AS Nasi Kandar,RM 6.00,(Dinner),"Goes down for roti at 6, Sky isn't making. Goes back up.

Comes back down at 6:30, Sky isn't making. Fine. I'll AS again.

- Contains egg, vege, onion, weirdly chopped up cucumber, cabbage
- There's no meat in it
- There's a biasa &amp; ayam version from wat I hear.
- Tastes better than Dapo &amp; HTCs Biasa, but AS biasa is better I'd say?

Hm, an email saying Thurs class becomes Sat again... gamble going home?<br><ul><li>Contains egg, vege, onion, weirdly chopped up cucumber, cabbage</li><li>There's no meat in it</li><li>There's a biasa &amp; ayam version from wat I hear.</li><li>Tastes better than Dapo &amp; HTCs Biasa, but AS biasa is better I'd say?</li></ul>","images/2026/May/2026, May, image 4.png"
2026-05-06 (Wednesday),Nasi Goreng Kampung,HTC,RM 6.00,(Lunch),"There is some pre packed RM10 pasta stuff sold by students, but somehow brain decided to pivot back to HTC.

- It... took almost 20 minutes of standing and waiting.
- They churned out tons of maggi goreng in 1 go, akin to batch cooking (yes). Maybe that's the safer bet next time.
- I likely could've gotten the pasta and finished it by the time I received my food.
- Anchovies are kinda soft, and Dapo at their worst is I'd say on par with this.

The hardest choices require the strongest wills.<br><ul><li>It... took almost 20 minutes of standing and waiting.</li><li>They churned out tons of maggi goreng in 1 go, akin to batch cooking (yes). Maybe that's the safer bet next time.</li><li>I likely could've gotten the pasta and finished it by the time I received my food.</li><li>Anchovies are kinda soft, and Dapo at their worst is I'd say on par with this.</li></ul>","images/2026/May/2026, May, image 5.png"
2026-05-10 (Sunday),Roti Kahwin,Sky Malaysia,RM 4.00,(Dinner),"Returned to Cyber earlier as homemade dinner not being cooked.

Koyoboi was gonna cook, but then suddenly went out with the rest? (Checked parking lot to confirm)

Gemini told me to Kahwin instead of Maggi Goreng citing ""provides better protein, leaves more cash"".

Sky is suprisingly operating their roti corner, so might as well.

Had to press the button so they noticed me. 7 minutes to cook. Sauces could've been more generous, but it's fine.

Yet another shop that does not accept the purple.

<small>MMU Bus timings got shafted? Guess my Wednesdays became yet another car day.</small>","images/2026/May/2026, May, image 6.png"
2026-05-11 (Monday),Nasi Campur,Cita Rasa Delima,RM 9.00,(Lunch),"Org Behaviour Quiz done, it was doable in a KBAT-ish sense, though prior knowledge is needed of course.

Gym? I'll put it off for 2pm+, if I do commit to it.

- Ayam Masak Merah: I suck at recognising parts, just know it's not a drumstick or wing
- Vege: It looked like the only one without anchovy, 2 scoops
- Rice: 2 scoops
- Unlike other stalls theres weirdly no sort of curry for me. So I just took some extra onions from masak merah

<small>Hm, TIL the USB C on my laptop can be used to charge iPhones. Good to know I guess?</small><br><ul><li>Ayam Masak Merah: I suck at recognising parts, just know it's not a drumstick or wing</li><li>Vege: It looked like the only one without anchovy, 2 scoops</li><li>Rice: 2 scoops</li><li>Unlike other stalls theres weirdly no sort of curry for me. So I just took some extra onions from masak merah</li></ul>","images/2026/May/2026, May, image 7.png"
2026-05-11 (Monday),Nasi Goreng Biasa,AS Nasi Kandar,RM 6.00,(Dinner),"Fetched a friend/groupmate to near his apartment, so I wouldn't be able to eat on campus.

Bois seem to have cooked some sort of Japanese curry, which means not existing below.

They took around 7 minutes to cook, and I wonder what makes the price difference of Biasa &amp; Mamak to not include meat.

Speaking of mamak variant &amp; meat, adding chicken seems to cost an extra 4? At least for Mee Mamak.

<small>Will Thurs class be changed to Sat again? Staying tuned for the announcement.</small>","images/2026/May/2026, May, image 8.png"
2026-05-12 (Tuesday),Nasi Kandar,AS Nasi Kandar,RM 7.50,(Lunch),"Went to Sky, asked for Penyet: ""takda"". The chicken is right there though? Guess I'll return to AS.

- Thigh piece. It's above room temperature, also nice.
- Rice is regular serving
- Vege is 1 push or 2? I wonder if 2 tofu counts as +1, or it's a vege (A question I asked on 15 Dec 2025)
- 3 scoops of goat curry
- Limau ais returns with 2 limes

Likely they wouldn't accept the purple, so I gave them GX QR.<br><ul><li>Thigh piece. It's above room temperature, also nice.</li><li>Rice is regular serving</li><li>Vege is 1 push or 2? I wonder if 2 tofu counts as +1, or it's a vege (A question I asked on 15 Dec 2025)</li><li>3 scoops of goat curry</li><li>Limau ais returns with 2 limes</li></ul>","images/2026/May/2026, May, image 9.png"
2026-05-12 (Tuesday),Maggi Goreng Mamak,AS Nasi Kandar,RM 6.00,(Dinner),"I went down a tad bit earlier compared to normal to avoid the bois. It was too early so I had to stroll around for a bit.

- Onion, Cabbage, Vege, Egg
- I was thinking there'd be some sort of tofu as meat substitute, guess not.
- Per usual, no meat. Wait where's my cucumber..
- Does biasa have meat? Only one way to find out.

It tastes fine, better than the slightly hard Dapo, and likely better vs the literal egg + maggi HTC.

Once again, a notice saying Thurs class becomes Sat online. Announcement has been tuned.<br><ul><li>Onion, Cabbage, Vege, Egg</li><li>I was thinking there'd be some sort of tofu as meat substitute, guess not.</li><li>Per usual, no meat. Wait where's my cucumber..</li><li>Does biasa have meat? Only one way to find out.</li></ul>","images/2026/May/2026, May, image 10.png"
2026-05-13 (Wednesday),Nasi Kandar,HTC,RM 9.50,(Lunch),"Class ended a lil earlier, so gambled by queuing and eating here.

As long as one comes before 12+- queue is acceptable

- Rice: 2 scoops, with some bits of briyani (I can't taste anything) (First to be finished)
- Chicken: they came out as I was scooping rice. Thigh piece
- Curry: unsure of meat, but seems like bones. 2-3 scoops
- Vege: quite alot as quoted by him when I asked for the price (I finished it a little before chicken)
- Accepted my purple

Went in 11:40, Ate 11:46, Finished 12:04. I'll take 20 minutes of eating as an average.

Next weeks 10am class is replaced with the presentation. How should I plan lunch..<br><ul><li>Rice: 2 scoops, with some bits of briyani (I can't taste anything) (First to be finished)</li><li>Chicken: they came out as I was scooping rice. Thigh piece</li><li>Curry: unsure of meat, but seems like bones. 2-3 scoops</li><li>Vege: quite alot as quoted by him when I asked for the price (I finished it a little before chicken)</li><li>Accepted my purple</li></ul>","images/2026/May/2026, May, image 11.png"
2026-05-18 (Monday),Nasi Ayam Set,Mira Kitchen,RM 8.00,(Lunch),"I may have forgot to bring my cup. Didn't decide to route back as otherwise the 7:3Xam jam will kill.

Settled with a place that has drinks, for the cup as well in preparation for dinner.

Served within a few minutes. Such is life of instant food.

Now to hope I could scram for presentation during class, smooth sailing?","images/2026/May/2026, May, image 12.png"
2026-05-18 (Monday),Tok Mat Ala Carte A,Ayak Gepuk Tok Mat Cyberjaya,RM 13.65,(Dinner),"Trying for the first time, along with exploring a new area in general called Atelier.

There's decent parking, choices to park near shops, at KFC (chosen here), or McD.

- Rice: seems plentiful, is plentiful. I didn't get to add once, didn't finish like 1 more mouthful remaining.
- Chicken: the wing is juicy? But the breast is not. There seems to be an option to choose thigh? Unsure.
- Cucumber is 1 thick slice, whereas cabbage is 1 big slice as well
- Nut sauce is ok, added once.
- Sambal didn't had kick at first, and then had kick down the line.
- Kicap is the typical sweet gepuk kicap.
- Rating them grants me a drink. Chosen Nestea (is ok), but there's a pink drink as well.

I feel weak. I can't even ask for rice addition. Just like my presentation, brain X3D, mouth Athlon.

Is this the end for big stomach me? Oh yeah, they also have tax. Something to take note of.

- Tok Mat Ala Carte A: 12.90
- Biasa, Dada dan Kepak
- Service Charge (6%): 0.77
- Bill rounding: -0.02<br><ul><li>Rice: seems plentiful, is plentiful. I didn't get to add once, didn't finish like 1 more mouthful remaining.</li><li>Chicken: the wing is juicy? But the breast is not. There seems to be an option to choose thigh? Unsure.</li><li>Cucumber is 1 thick slice, whereas cabbage is 1 big slice as well</li><li>Nut sauce is ok, added once.</li><li>Sambal didn't had kick at first, and then had kick down the line.</li><li>Kicap is the typical sweet gepuk kicap.</li><li>Rating them grants me a drink. Chosen Nestea (is ok), but there's a pink drink as well.</li><li>Tok Mat Ala Carte A: 12.90</li><li>Biasa, Dada dan Kepak</li><li>Service Charge (6%): 0.77</li><li>Bill rounding: -0.02</li></ul>","images/2026/May/2026, May, image 13.png"
2026-05-19 (Tuesday),Nasi Kandar,AS Nasi Kandar,RM 7.50,(Lunch),"Asked Sky where's their Penyet, they told me ""orang takda"". ...What do you mean the person is missing.

I'd accept it not smashed as well... so long as the sambal exists as priority (the chicken exists outside).

Back to AS it is then.

- Chicken: room temperature, thigh, juicier than yesterdays.
- Vege: I didn't remember how much I scooped, but I finished it before the rice. Wow.
- Rice: they scooped, just a bowlful
- Beef? curry: 3 to 4 scoops
- Limau ais, took back 2 limes
- I was told I could also choose diced/whole curry chicken. 4 bigger ones, or 5 smaller ones.

Licking the thigh bone, there's some weird taste. But it isn't the vein... wonder what caused it?<br><ul><li>Chicken: room temperature, thigh, juicier than yesterdays.</li><li>Vege: I didn't remember how much I scooped, but I finished it before the rice. Wow.</li><li>Rice: they scooped, just a bowlful</li><li>Beef? curry: 3 to 4 scoops</li><li>Limau ais, took back 2 limes</li><li>I was told I could also choose diced/whole curry chicken. 4 bigger ones, or 5 smaller ones.</li></ul>","images/2026/May/2026, May, image 14.png"
2026-05-19 (Tuesday),Maggi Goreng Mamak,AS Nasi Kandar,RM 6.00,(Dinner),"I wanted to try Maggi Goreng Biasa, but turns out there's only Mamak variant.

I'll accept my L gracefully by not reverting my order, and eat it as is.

Koyoboi &amp; Cheese came to inflitrate &amp; set base at another table as I finished my meal, coincidence.

I also got sent to Career Fair, so I guess I'll make do with my remaining 3 meals here.

Maybe trying ShopeeFood vouchers? They seem nice for first user.","images/2026/May/2026, May, image 15.png"
2026-05-20 (Wednesday),Soy Garlic Rice Bowl,Jinja Shiokkk,RM ~~14.00~~ 7.00,(Lunch),"It costs 13 physically, 14 on ShopeeFood. There's a voucher on it that says 50% off, capped at RM7. This perfectly fits the bill.

Ordered &amp; paid via ShopeePay as it only accepts that per voucher requirement. Took around 7 minutes or so.

- Choice of Wingette, Drummette, or Boneless, chosen Boneless.
- 2 tenders are fine, but likely the other 2 choices could be better
- Katsuobushi: Known to be as Bonito fish flakes, it... I don't like this. It's not ass though, just, no?
- Seaweed: think of them as those pre packed ones, cut to strips. They're fine.
- Kimchi: could be the best thing here, I'd swap the Katsuobushi for them anytime.
- Rice: hot and warm. They aren't using pearl rice, but somehow this regular rice is slightly sticking to each other
- 1 lettuce
- Sauce: it's fine, and ok, but nothing special really

I somehow finished the chicken and rice at the same time.

Worthiness wise, it's ass at 14, ass at 13, but ok at 7. I likely would have a better time if I ordered the Gepuk.<br><ul><li>Choice of Wingette, Drummette, or Boneless, chosen Boneless.</li><li>2 tenders are fine, but likely the other 2 choices could be better</li><li>Katsuobushi: Known to be as Bonito fish flakes, it... I don't like this. It's not ass though, just, no?</li><li>Seaweed: think of them as those pre packed ones, cut to strips. They're fine.</li><li>Kimchi: could be the best thing here, I'd swap the Katsuobushi for them anytime.</li><li>Rice: hot and warm. They aren't using pearl rice, but somehow this regular rice is slightly sticking to each other</li><li>1 lettuce</li><li>Sauce: it's fine, and ok, but nothing special really</li></ul>","images/2026/May/2026, May, image 16.png"
2026-05-20 (Wednesday),Murtabak Ayam,AS Nasi Kandar,RM 5.00,(Dinner),"Got told to try Murtabak as an alternative to Kahwin, time to try.

It took a while, like 20 minutes+ as opposed to their regular gorengs.

- Contains chicken, onion, unsure white stuff, occasional greens
- When hot, tastes like Chicken Ramly Burger patty somehow..
- Sauce at the right is diced raw onions with sirap. Yes the sirap drink. Weird, but fine.
- Asked for addons, received a bowl + sauce pan of dhal &amp; curry respectively

It's ok? As a replacement for Kahwin, though it's +1. But meat though.

I wonder how's the other 2, Sky is more expensive by +2, and Chilli by +2.5.<br><ul><li>Contains chicken, onion, unsure white stuff, occasional greens</li><li>When hot, tastes like Chicken Ramly Burger patty somehow..</li><li>Sauce at the right is diced raw onions with sirap. Yes the sirap drink. Weird, but fine.</li><li>Asked for addons, received a bowl + sauce pan of dhal &amp; curry respectively</li></ul>","images/2026/May/2026, May, image 17.png"
2026-05-21 (Thursday),Nasi Campur,Dapo Sahang,RM 6.50,(Lunch),"Career fair has some food trucks available, though nothing too exiting to me I guess. Back to the classics.

I may have went too early, as they only started setting up like 10+ minutes after I arrived in sweat. 2 clothes ain't fun in this weather.

And somehow, when one starts to queue (no one did when they were setting up), everyone swarms in to queue. Wow.

- Ayam Masak Merah: thigh
- Rice: occasional cakes, but overall fine enough. I'd say 2 or 3 scoops, unsure
- Cabbage + carrots: Finished around the same time as rice, like 1.8 scoops
- Curry: I can't taste anything
- Kicap? (from Ayam Kicap): I have no idea how to describe this, but Masak Merah my beloved.

With the week long online week upcoming, I guess this is how I end my month in Cyberjaya.<br><ul><li>Ayam Masak Merah: thigh</li><li>Rice: occasional cakes, but overall fine enough. I'd say 2 or 3 scoops, unsure</li><li>Cabbage + carrots: Finished around the same time as rice, like 1.8 scoops</li><li>Curry: I can't taste anything</li><li>Kicap? (from Ayam Kicap): I have no idea how to describe this, but Masak Merah my beloved.</li></ul>","images/2026/May/2026, May, image 18.png"
2026-06-03 (Wednesday),Nasi Campur,Royal Tandoori,RM 8.50,(Lunch),"Back in campus for the 2nd last month, and ended a 40% Assignment 2 for Corpo Strat.

Could've dined in HTC but I refrained as it was too early for lunch to me.

- Rice: a modest scoop
- Chicken: thigh. Wouldn't say juicy but as long as it's better than Gepuks.
- Vege: 1 scoop, with a bit more.
- Presumably beef curry?

Initially I gave them 10, then they told me no change &amp; asked me to eat first.

Not risking that, I asked if I could QR them instead, and received back my red note.<br><ul><li>Rice: a modest scoop</li><li>Chicken: thigh. Wouldn't say juicy but as long as it's better than Gepuks.</li><li>Vege: 1 scoop, with a bit more.</li><li>Presumably beef curry?</li></ul>","images/2026/June/2026, June, image 1.png"
2026-06-03 (Wednesday),Nasi Goreng Biasa,AS Nasi Kandar,RM 6.00,(Dinner),"My intended under fan table was taken already, so I sat on the sofa one. It slightly burns.

Ordered 17:57, received 18:04.

Todays one is a little darker init? As bleak as how I shall fare this test with purely my memory huh.

I should upgrade to other variants as time passes.","images/2026/June/2026, June, image 2.png"
2026-06-04 (Thursday),Nasi Ayam Penyet,Sky Malaysia,RM 10.00,(Lunch),"Went to the counter &amp; asked directly, suprisingly it exists today, instant order.

11:56 or so ordered, 12:03 received.

- 3 heart shape cucumber slices (each a half heart, total 6 half hearts)
- Chicken is typical, wouldn't say hot tho
- Sambal is good as always
- Rice: riced, but a bit dryer than I'd have like
- 2x inch long raw long beans, discarded after biting into one of them

...and it came up to 10. Didn't ask much as I accepted this priced like stock market meal.<br><ul><li>3 heart shape cucumber slices (each a half heart, total 6 half hearts)</li><li>Chicken is typical, wouldn't say hot tho</li><li>Sambal is good as always</li><li>Rice: riced, but a bit dryer than I'd have like</li><li>2x inch long raw long beans, discarded after biting into one of them</li></ul>","images/2026/June/2026, June, image 3.png"
2026-06-04 (Thursday),Nasi Goreng Paprik,AS Nasi Kandar,RM 10.00,(Dinner),"Wanting to try one of the things I have yet to try.

From my gallery it's shown as 8, so giving it a try. 18:10 order, 18:18 arrived.

- Asked if I wanted chicken, yes. I assume there's beef option.
- Sauce: tastes like some sort of light Tom Yam sauce.
- Onion, long bean, carrot, cauliflower, chicken, 1/8th of a tomato, green chili, tomyam leaf (the hard one)
- Rice: egg, carrots, red chili bits. Same fried rice type as Kunyit/Kicap.

Turns out it costs 10 based on the updated menu. Shyt.

Then again, my menu is outdated by like what, 6 months?<br><ul><li>Asked if I wanted chicken, yes. I assume there's beef option.</li><li>Sauce: tastes like some sort of light Tom Yam sauce.</li><li>Onion, long bean, carrot, cauliflower, chicken, 1/8th of a tomato, green chili, tomyam leaf (the hard one)</li><li>Rice: egg, carrots, red chili bits. Same fried rice type as Kunyit/Kicap.</li></ul>","images/2026/June/2026, June, image 4.png"
2026-06-05 (Friday),Nasi Kandar,AS Nasi Kandar,RM 8.00,(Lunch),"Dapur doesn't have much chicken choices apart from fried one. It's quite some fishes.

- Chicken: fresh thigh, warmer than the ones in warmer I'd assume. (The oil is quite black)
- Goat curry: some scoops
- Vege: 1 pushful
- Rice: idk, but I somehow finished vege before rice
- Limau ais comes with 2 lime

Koyo came alone halfway during my meal, presumably the other 2 are still either asleep or AFK.

It turns out Bayam costs 8, and the set price was meant for Kobis (cabbage) only.

I guess it is kinda worth it to not eat cabbage every meal.<br><ul><li>Chicken: fresh thigh, warmer than the ones in warmer I'd assume. (The oil is quite black)</li><li>Goat curry: some scoops</li><li>Vege: 1 pushful</li><li>Rice: idk, but I somehow finished vege before rice</li><li>Limau ais comes with 2 lime</li></ul>","images/2026/June/2026, June, image 5.png"
2026-06-05 (Friday),Chicken Shawarma Small,Chef Yas,RM 7.00,(Dinner),"I was gonna try out their Rahmah menu as a cheap option + to fill me a bit before my test, but it was unavailable. So I went with the small one to not dissapoint them.

It seems to come with extra white sauce as well, along with in general being smaller, obviously.

It did not fill me past test time (the test itself is ""it could've been better if I studied better""). It would be better to eat big, and not sleep hungry thereafter.

Side note, going home at 8pm is e h h, there's still jam, but not ""help me I have skill issue"" jam, but it's still jam.

An hour or so drive back, with at least 20+ minutes stuck on that cursed section.","images/2026/June/2026, June, image 6.png"
2026-06-08 (Monday),Asam Pedas Ayam,Mira Kitchen,RM 8.00,(Lunch),"I felt like gambling Asam, as I did want to do it at 20 Apr 2026. Starbees seems to be out of power, as the plugs and stalls seem to not have any lighting or TV on.

So their electric pager is dead, good thing I sat near to hear their calls.

- It is sizzling when I took it, which means it's piping hot.
- By piping hot, I meant it burns. It is also oily, which further amplified its burn damage.
- Chicken is enough I'd say, and the egg is ok
- 2 lady fingers, 2 slices of cucumber, 1 lettuce leaf

Never order again, I don't think I can customise the spice levels. How did those people survive this spice?

<small>Seems like I didn't notice there's a small hole on my shoulder. This is... oops. Guess I won't gym.</small><br><ul><li>It is sizzling when I took it, which means it's piping hot.</li><li>By piping hot, I meant it burns. It is also oily, which further amplified its burn damage.</li><li>Chicken is enough I'd say, and the egg is ok</li><li>2 lady fingers, 2 slices of cucumber, 1 lettuce leaf</li></ul>","images/2026/June/2026, June, image 7.png"
2026-06-08 (Monday),Thai Style Creamy Butter Pork Rice,Hinz Kitchen,RM 12.30,(Dinner),"Slight delay on class, then another detour with someone (but received green slurpee).

I didn't had Hinz since 4 Dec 2025, or 27 Nov 2025 if we count this exact dish.

The rice for some reason is a little drier than how I remember, did you fall off?

- Thai Style Creamy Butter Pork Rice - 11.60
- 6% tax - 0.696
- Total - 12.30 (rounded up)

18:45 ordered, 18:59 received, paid 19:18.

And now to prepare for a week of quad interviews (more of 2 tech interviews, 1 HR interview, 1 ""irl meetup but bro can hire me"").<br><ul><li>Thai Style Creamy Butter Pork Rice - 11.60</li><li>6% tax - 0.696</li><li>Total - 12.30 (rounded up)</li></ul>","images/2026/June/2026, June, image 8.png"
2026-06-09 (Tuesday),Nasi Kandar,AS Nasi Kandar,RM 7.50,(Lunch),"1 tech interview down, it was quite chill somehow. And then lunch time.

Penyet? No exist. Nasi kandar it is.

- Chicken: Thigh. I asked which was the fresh ones, he said top compartment. It's room temperature.
- Curry: 3 scoops of beef + goat. I bit into a cardamom. My mouth died.
- Vege: I'd say a push, then a scoop
- Rice: whatever he gave, which is better than Hinz somehow.

I should plan packing my stuff in batches eventually as I only have some time left before I'm piled with stuff.<br><ul><li>Chicken: Thigh. I asked which was the fresh ones, he said top compartment. It's room temperature.</li><li>Curry: 3 scoops of beef + goat. I bit into a cardamom. My mouth died.</li><li>Vege: I'd say a push, then a scoop</li><li>Rice: whatever he gave, which is better than Hinz somehow.</li></ul>","images/2026/June/2026, June, image 9.png"
2026-06-09 (Tuesday),Nasi Goreng Cina,AS Nasi Kandar,RM 7.00,(Dinner),"TIME wifi has an outage, so I suffered as a caveman for 3 hours as of now. I have yet to try this Nasi Goreng variant before.

He tried to ""encite"" me to add telur dadar, but nah. It's +2.5. Took pic of the menu in the meantime.

- It tastes very cina
- Carrot, diced long beans, fried onions (garnishing), spring onions, Green chili
- Chicken meat (at least 5 cubes) + egg for protein

Tried to use wifi here, but it was hopeless. Went to Skys bench to get some dailies done, while having the urge to #2.

Once I reached up (holding in lift with others), the toilet is used. Rolled down 8 flight of stairs again while having it nearly coming out.

I think I need to pack myself a mini pack of tissues, and always do the deed when I feel like it and not at a safe space where availability is RNG.<br><ul><li>It tastes very cina</li><li>Carrot, diced long beans, fried onions (garnishing), spring onions, Green chili</li><li>Chicken meat (at least 5 cubes) + egg for protein</li></ul>","images/2026/June/2026, June, image 10.png"
2026-06-10 (Wednesday),Nasi Kandar,HTC,RM 9.00,(Lunch),"Class ended earlier, so gambling HTC (again) instead of student based stalls.

- Chicken: not a fresh one but still fine
- Rice: 2 scoops, no hiding stuff
- Vege: like 2-3 pushfuls
- Curry: some scoops of presumed chicken. I can't find lamb anywhere or beef.

Enter 11:35, Food 11:40, Finished 12:01. A little edged, but still better than...

...than a reschedule from physical to online, right after I donned my fancy wear, and travelled out.<br><ul><li>Chicken: not a fresh one but still fine</li><li>Rice: 2 scoops, no hiding stuff</li><li>Vege: like 2-3 pushfuls</li><li>Curry: some scoops of presumed chicken. I can't find lamb anywhere or beef.</li></ul>","images/2026/June/2026, June, image 11.png"
2026-06-10 (Wednesday),Nasi Goreng Biasa,Ummifa,RM 8.00,(Dinner),"2nd one was more of a ""e-coffee chat"" as opposed to an actual interview, which is said to be 2 hours long, physically.

I have decision fatigue as my plans were kinda ruined, went back &amp; forth on ""what to eat"" as the bois were buying Yesterday Rice.

In the end settled with Ummifa, why? Lazy to think more, settled with whatever I least tried.

- They seemed to have raised prices, and slashed out their rice set menu.
- Taste wise it seems fine, but not special enough to deserve it being more expensive vs AS, Sky, &amp; Chilli.
- Vege, Cabbage, Chicken, little Egg, Red chili, Green chili
- I felt hints of garlic, but I didn't bit into any throught my meal.

My pet peeves &amp; some mildly infuriating parts:

- It's a bit hot ever since they change to this new seating setting.
- No waiter as everyone is kinda doing their own thing, so this delays ordering &amp; billing.
- No tissue
- More expensive vs other stalls, but willing buyer willing seller = sale.

I should pre-plan my meals in advance with a backup meal to prevent this from happening again.<br><ul><li>They seemed to have raised prices, and slashed out their rice set menu.</li><li>Taste wise it seems fine, but not special enough to deserve it being more expensive vs AS, Sky, &amp; Chilli.</li><li>Vege, Cabbage, Chicken, little Egg, Red chili, Green chili</li><li>I felt hints of garlic, but I didn't bit into any throught my meal.</li><li>It's a bit hot ever since they change to this new seating setting.</li><li>No waiter as everyone is kinda doing their own thing, so this delays ordering &amp; billing.</li><li>No tissue</li><li>More expensive vs other stalls, but willing buyer willing seller = sale.</li></ul>","images/2026/June/2026, June, image 12.png"
2026-06-15 (Monday),Nasi Campur,Cita Rasa Delima,RM 9.00,(Lunch),"3rd (happened Fri) was full on China. Andddd my Org Behaviour groupmates are missing for the 2nd or 3rd week in a row.

Well aside from the imminent test, I think I should be able to handle it solo... more or less.

Anyways, lunch.

- Chicken: The usual masak merah, thigh. A bit small though.
- Vege: 1.3 scoops. It had smoke when I scooped it, but isn't hot/warn anymore when I start to eat it
- Rice: I think 1 or 2 scoops, forgot

Imminent test, which holds 30% of my grade. I hope someone could save me.<br><ul><li>Chicken: The usual masak merah, thigh. A bit small though.</li><li>Vege: 1.3 scoops. It had smoke when I scooped it, but isn't hot/warn anymore when I start to eat it</li><li>Rice: I think 1 or 2 scoops, forgot</li></ul>","images/2026/June/2026, June, image 13.png"
2026-06-15 (Monday),Nasi Goreng USA,Cita Rasa Delima,RM 10.00,(Dinner),"Asking Herrscher what to eat for dinner, he suggested this stall. As I had kampung prior (per his initial suggestion), I RNG-ed to have this.

18:03 order, 18:19 serve.

- It came in 2 plates to my suprise, even asked to confirm.
- Fried rice part: it's decently well, akin their Kampung but slightly nerfed in terms of meat (chicken &amp; anchovies). Or is this their biasa?
- Fried egg: decent. Not runny, which is the way I prefer it. (not fully hard though, but still better than runny)
- USA part: Chicken, 3 squid rings, 1 prawn. Onion, Cauliflower, Long beans. Sauce was flavourful

All in all, a fine meal. Would eat again, if budget allows that is.

Hope this will last me for the test and the day, and then to prepare for at least 3 more interviews.<br><ul><li>It came in 2 plates to my suprise, even asked to confirm.</li><li>Fried rice part: it's decently well, akin their Kampung but slightly nerfed in terms of meat (chicken &amp; anchovies). Or is this their biasa?</li><li>Fried egg: decent. Not runny, which is the way I prefer it. (not fully hard though, but still better than runny)</li><li>USA part: Chicken, 3 squid rings, 1 prawn. Onion, Cauliflower, Long beans. Sauce was flavourful</li></ul>","images/2026/June/2026, June, image 14.png"
2026-06-22 (Monday),Nasi Kandar,HTC,RM 8.00,(Lunch),"Org behaviour done, with gal outperforming me by leagues. Corpo strat is more down to earth skill level wise.

I'd have around 30 minutes of food time left, so HTC shall do.

- Rice: 1 scoop and a little more
- Vege: 1 pushful
- Chicken: thigh, I don't think it's hot fresh, but it'll do
- Curry: boney one

This is the cheapest I've ever seen you in a while. Then again, I'm conservating some food space for dinner.

I wonder how VIP quiz 2 will end up.<br><ul><li>Rice: 1 scoop and a little more</li><li>Vege: 1 pushful</li><li>Chicken: thigh, I don't think it's hot fresh, but it'll do</li><li>Curry: boney one</li></ul>","images/2026/June/2026, June, image 15.png"
2026-06-22 (Monday),Ayam Basic Crispy,Ayam Gepuk Mas Rio,RM 9.90,(Dinner),"Quiz 2 could've been better, but I'd say it's my fault for ""not taking advantage"".

Anyways as promised, Mas Rio time. The restaurant is packed. 15 minutes q, 15 minutes wait.

- Chicken: mm, ok.
- Nut sauce: ...a bit off. Still edible, but it's more or less ""nutty"". Some describe it as peanut butter.
- Sambal: doesn't burn me off. That's a win.
- Rice: ok, added once. Can't finish as chicken ran out (read: fatbod achieved)
- Fried cabbage: carcinogen.
- Soup: came later. Think of Warung Hanna soup, but oil. Didn't finish.

Halfway during my meal, an Ex GDC committee member recognised + approached me, and then we (+ his colleagues) shared tables. Unexpected things happen in life, but all good.

""Gepuk reviewer""? I'm not Ming Chun, but I did have some fair share of foods around cyber I guess.

Would I come again? Maybe to try drink offerings + Ori, but weirdly none of them ordered it. Only double crispy.<br><ul><li>Chicken: mm, ok.</li><li>Nut sauce: ...a bit off. Still edible, but it's more or less ""nutty"". Some describe it as peanut butter.</li><li>Sambal: doesn't burn me off. That's a win.</li><li>Rice: ok, added once. Can't finish as chicken ran out (read: fatbod achieved)</li><li>Fried cabbage: carcinogen.</li><li>Soup: came later. Think of Warung Hanna soup, but oil. Didn't finish.</li></ul>","images/2026/June/2026, June, image 16.png"
